X,Y,Coded_ID,Tract_name,Name,Name_other,Includes,SiteStatus,Country,State_Prov,Latitude,Longitude,Type,Subtype,Age_Ma,Comm_major,Tonnage_Mt,Cu_pct,Ag_g_t,Con_Cu_t,Group_name,Includes2,SiteStat2,SiteStat3,Agehost,Unit,HostRocks,Co_pct,Comments,Mineralogy,Ref_short,Report
68.370000174,52.080000069,142ssCu8050,Teniz Basin,Drill-hole N-11,,,prospect,Kazakhstan,Aqmola,52.08,68.37,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
69.850000042,51.319999946,142ssCu8050,Teniz Basin,Lozovskoe,,,prospect,Kazakhstan,Aqmola,51.32,69.85,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Lower Carboniferous rocks,,-9999,,,"Syusyura and others, 2010",Teniz
68.100000141,51.620000085,142ssCu8050,Teniz Basin,Kokpekty-I,,,prospect,Kazakhstan,Aqmola,51.62,68.1,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
66.549999972,51.63,142ssCu8050,Teniz Basin,Area No 8,,,prospect,Kazakhstan,Aqmola,51.63,66.55,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Kirey Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.830000166,51.100000019,142ssCu8050,Teniz Basin,Drill-hole 138,,,prospect,Kazakhstan,Aqmola,51.1,67.83,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.630000061,51.900000013,142ssCu8050,Teniz Basin,Drill-hole P-265,,,prospect,Kazakhstan,Aqmola,51.9,68.63,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Lower Carboniferous rocks,,-9999,,,"Syusyura and others, 2010",Teniz
68.649999784,52.149999973,142ssCu8050,Teniz Basin,Poltavskoe,,,prospect,Kazakhstan,Aqmola,52.15,68.65,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.220000052,52.029999974,142ssCu8050,Teniz Basin,Drill-hole N-10,,,prospect,Kazakhstan,Aqmola,52.03,68.22,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.299999944,52.02,142ssCu8050,Teniz Basin,Drill-hole X-124,,,prospect,Kazakhstan,Aqmola,52.02,68.3,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.299999944,52.02,142ssCu8050,Teniz Basin,Drill-hole N-16,,,prospect,Kazakhstan,Aqmola,52.02,68.3,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.349999918,51.97,142ssCu8050,Teniz Basin,Proletarskoe IV-IX,,,prospect,Kazakhstan,Aqmola,51.97,68.35,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.2499999,51.949999947,142ssCu8050,Teniz Basin,Drill-hole ╒-103,,,prospect,Kazakhstan,Aqmola,51.95,68.25,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.569999861,51.98,142ssCu8050,Teniz Basin,Spasskoe,,,prospect,Kazakhstan,Aqmola,51.98,68.57,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
69.080000078,52.030000035,142ssCu8050,Teniz Basin,Achily-I,,,prospect,Kazakhstan,Aqmola,52.03,69.08,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.95,50.280000034,142ssCu8050,Teniz Basin,Kokdombak,,,prospect,Kazakhstan,Karagandy,50.28,67.95,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Lower Carboniferous rocks,,-9999,,,"Syusyura and others, 2010",Teniz
68.333000026,52.149999971,142ssCu8050,Teniz Basin,Prirechnoe,,,prospect,Kazakhstan,Aqmola,52.15,68.333,Sediment-hosted stratabound copper,Sandstone copper,-9999,Cu,-9999,-9999,-9999,-9999,,,,,Undetermined,Undetermined,,-9999,,,"Syusyura and others, 2010",Teniz
