Coded_ID,Tract_name,Name,Name_other,Includes,SiteStatus,Country,State_Prov,Latitude,Longitude,Type,Subtype,Age_Ma,Comm_major,Tonnage_Mt,Cu_pct,Ag_g_t,Con_Cu_t,Group_name,Includes2,SiteStat2,SiteStat3,Agehost,Unit,HostRocks,Co_pct,Comments,Mineralogy,Ref_short,Report
142ssCu8050,Teniz Basin,Sovetskoe,,,prospect,Kazakhstan,Aqmola,51.996746632,68.046203993,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Middle to Upper Devonian,Middle to Upper Devonian rocks,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,Kirei,,,prospect,Kazakhstan,Aqmola,51.96304417,68.028942905,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Middle to Upper Devonian,Middle to Upper Devonian rocks,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.994842304,68.358498802,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.983707039,68.333902938,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.98504126,68.359789296,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.982731722,68.410253091,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,Proletarskoe V,,,prospect,Kazakhstan,Aqmola,51.966165286,68.366284039,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,Lyudmilovskoe,,,prospect,Kazakhstan,Aqmola,51.967128889,68.334837551,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.9551635,68.366819209,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,Smirnovskoe,,,prospect,Kazakhstan,Aqmola,51.928502572,68.343434531,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.979192762,68.785420201,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,Borisovskoe,,,prospect,Kazakhstan,Aqmola,51.875806659,68.540980632,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,0.0,,chalcopyrite,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.828344416,68.593959743,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Babi'chev and others, 1970",Teniz
142ssCu8050,Teniz Basin,Tassay,,,prospect,Kazakhstan,Qostanay,51.849298157,67.948461959,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,Akimovskoe,,,prospect,Kazakhstan,Qostanay,51.873952202,67.817726234,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Devonian,Dzhaksykon series,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Qostanay,51.829829278,67.863890271,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,Altynkazgan,,,prospect,Kazakhstan,Aqmola,51.733323147,67.972639024,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,significant prospect,,Lower Permian,Kayraktin Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.744967921,67.961826635,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,Kiyminskoe,,,prospect,Kazakhstan,Qostanay,51.668660813,67.603562948,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,significant prospect,,Lower Permian,Kiymin Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,Kieilin,,,prospect,Kazakhstan,Qostanay,51.67050863,67.529147303,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,significant prospect,,Lower Permian,Kiymin Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.598214138,67.654728638,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kiymin Suite,,0.0,,,"Mikhailov, 1963",Teniz
142ssCu8050,Teniz Basin,Shoum,,,prospect,Kazakhstan,Aqmola,50.585928616,68.233092001,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.537090441,68.136658893,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,Aksu-2,,,prospect,Kazakhstan,Aqmola,50.560156387,68.593729495,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,Aksu,,,prospect,Kazakhstan,Aqmola,50.562958445,68.634565573,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,Kenen,,,prospect,Kazakhstan,Aqmola,50.477622935,68.101353734,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,0.5,-9999.0,-9999.0,,,significant prospect,,Lower Permian,Kayraktin Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,Mialy,,,prospect,Kazakhstan,Qostanay,50.420364635,67.828369581,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Kirey Suite,,0.0,,,"Minervin, 1961",Teniz
142ssCu8050,Teniz Basin,Toropushinskoe,,,prospect,Kazakhstan,Qostanay,50.477758856,67.720135541,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Kirey Suite,,0.0,,,"Minervin, 1961",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Qostanay,50.450122326,67.677199842,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Kirey Suite,,0.0,,,"Minervin, 1961",Teniz
142ssCu8050,Teniz Basin,Sharykty,,,prospect,Kazakhstan,Qostanay,50.427328427,67.671209381,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Middle to Upper Devonian,Middle to Upper Devonian rocks,,0.0,,,"Minervin, 1961",Teniz
142ssCu8050,Teniz Basin,Shabdar west,,,prospect,Kazakhstan,Qostanay,50.437429182,67.478321334,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Kirey Suite,,0.0,,,"Minervin, 1961",Teniz
142ssCu8050,Teniz Basin,Kopkazgan,,,prospect,Kazakhstan,Qostanay,50.370223955,68.006794646,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,1.35,-9999.0,-9999.0,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.356038247,68.039701165,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,Tersakkanskoe,Turgan Gulf (Ters-Akken River),,prospect,Kazakhstan,Aqmola,50.369637934,68.071489052,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Mazarovich, 1958",Teniz
142ssCu8050,Teniz Basin,Berden,,,prospect,Kazakhstan,Aqmola,50.23040474,68.232239155,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Kirey Suite,,0.0,,,"Mazarovich, 1958",Teniz
